match_id,inning,batting_team,bowling_team,over,ball,batter,bowler,non_striker,batsman_runs,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
419132,2,Mumbai Indians,Kings XI Punjab,4,1,S Dhawan,VS Malik,SR Tendulkar,2,0,2,,0,,,
392196,2,Deccan Chargers,Chennai Super Kings,6,5,HH Gibbs,M Muralitharan,VVS Laxman,0,0,0,,0,,,
336003,1,Kings XI Punjab,Kolkata Knight Riders,3,4,JR Hopes,AB Dinda,SE Marsh,0,0,0,,0,,,
1359514,2,Delhi Capitals,Sunrisers Hyderabad,0,4,PD Salt,B Kumar,MR Marsh,4,0,4,,0,,,
729313,1,Royal Challengers Bangalore,Kings XI Punjab,1,6,YV Takawale,Sandeep Sharma,PA Patel,0,0,0,,0,,,
1359478,2,Sunrisers Hyderabad,Rajasthan Royals,11,8,AU Rashid,R Ashwin,Abdul Samad,6,0,6,,0,,,
1359542,1,Lucknow Super Giants,Kolkata Knight Riders,6,6,KH Pandya,VG Arora,Q de Kock,0,0,0,,0,,,
734043,1,Kolkata Knight Riders,Kings XI Punjab,7,4,MK Pandey,Karanveer Singh,RV Uthappa,4,0,4,,0,,,
598017,1,Delhi Daredevils,Royal Challengers Bangalore,9,7,MC Juneja,JD Unadkat,DPMD Jayawardene,1,0,1,,0,,,
598017,1,Delhi Daredevils,Royal Challengers Bangalore,16,4,DPMD Jayawardene,RP Singh,KM Jadhav,1,0,1,,0,,,
734019,1,Delhi Daredevils,Kings XI Punjab,2,1,KP Pietersen,Sandeep Sharma,M Vijay,1,0,1,,0,,,
1370352,2,Mumbai Indians,Gujarat Titans,7,4,C Green,Rashid Khan,SA Yadav,1,0,1,,0,,,
734045,2,Chennai Super Kings,Mumbai Indians,3,3,F du Plessis,CJ Anderson,DR Smith,4,0,4,,0,,,
1359503,2,Chennai Super Kings,Sunrisers Hyderabad,0,5,DP Conway,B Kumar,RD Gaikwad,0,1,1,legbyes,0,,,
501230,1,Kolkata Knight Riders,Delhi Daredevils,8,6,G Gambhir,AB Agarkar,MK Tiwary,0,0,0,,0,,,
419162,2,Royal Challengers Bangalore,Mumbai Indians,10,4,V Kohli,CRD Fernando,LRPL Taylor,1,1,2,noballs,0,,,
548365,1,Rajasthan Royals,Pune Warriors,17,4,AM Rahane,B Kumar,BJ Hodge,0,0,0,,0,,,
501221,2,Chennai Super Kings,Mumbai Indians,14,5,S Anirudha,KA Pollard,S Badrinath,0,0,0,,0,,,
501202,1,Kings XI Punjab,Pune Warriors,8,1,AM Nayar,JD Ryder,R McLaren,0,0,0,,0,,,
419137,2,Rajasthan Royals,Chennai Super Kings,19,5,AS Raut,S Tyagi,NV Ojha,1,0,1,,0,,,
598059,2,Kings XI Punjab,Delhi Daredevils,11,6,DA Miller,J Botha,DJ Hussey,0,0,0,,0,,,
419133,2,Chennai Super Kings,Royal Challengers Bangalore,4,4,M Vijay,DW Steyn,ML Hayden,2,0,2,,0,,,
1304051,2,Sunrisers Hyderabad,Rajasthan Royals,0,3,KS Williamson,TA Boult,Abhishek Sharma,2,0,2,,0,,,
980933,2,Mumbai Indians,Delhi Daredevils,1,2,PA Patel,Mohammed Shami,RG Sharma,0,0,0,,0,,,
501202,2,Pune Warriors,Kings XI Punjab,7,6,RV Uthappa,AM Nayar,JD Ryder,0,0,0,,0,,,
1178408,2,Sunrisers Hyderabad,Chennai Super Kings,2,4,DA Warner,DL Chahar,JM Bairstow,4,0,4,,0,,,
1136584,1,Royal Challengers Bangalore,Chennai Super Kings,13,4,CJ Anderson,DJ Bravo,AB de Villiers,0,0,0,,0,,,
548312,1,Rajasthan Royals,Kolkata Knight Riders,2,6,R Dravid,B Lee,SP Goswami,0,0,0,,0,,,
1216531,2,Kings XI Punjab,Royal Challengers Bangalore,6,2,MA Agarwal,Mohammed Siraj,KL Rahul,1,0,1,,0,,,
419127,2,Kings XI Punjab,Kolkata Knight Riders,9,1,KC Sangakkara,AB Agarkar,DPMD Jayawardene,0,0,0,,0,,,
1304064,1,Mumbai Indians,Royal Challengers Bangalore,16,4,SA Yadav,PWH de Silva,JD Unadkat,6,0,6,,0,,,
981003,1,Sunrisers Hyderabad,Delhi Daredevils,14,4,DA Warner,A Mishra,EJG Morgan,1,0,1,,0,,,
548309,1,Rajasthan Royals,Kings XI Punjab,10,4,AL Menaria,PP Chawla,AM Rahane,0,0,0,,0,,,
598000,2,Pune Warriors,Sunrisers Hyderabad,1,2,MK Pandey,I Sharma,RV Uthappa,0,0,0,,0,,,
1178409,1,Mumbai Indians,Delhi Capitals,17,2,KH Pandya,KMA Paul,HH Pandya,4,0,4,,0,,,
1136586,1,Delhi Daredevils,Kolkata Knight Riders,0,6,PP Shaw,PP Chawla,C Munro,1,0,1,,0,,,
733999,1,Royal Challengers Bangalore,Rajasthan Royals,6,3,VH Zol,R Tewatia,CH Gayle,1,0,1,,0,,,
980911,1,Rising Pune Supergiants,Gujarat Lions,1,4,AM Rahane,SB Jakati,F du Plessis,4,0,4,,0,,,
1181766,1,Sunrisers Hyderabad,Delhi Capitals,10,2,KS Williamson,A Mishra,MK Pandey,0,0,0,,0,,,
1136603,1,Chennai Super Kings,Rajasthan Royals,2,3,SK Raina,JC Archer,SR Watson,0,1,1,noballs,0,,,
1304052,1,Kolkata Knight Riders,Royal Challengers Bangalore,10,2,SW Billings,PWH de Silva,AD Russell,1,0,1,,0,,,
729309,1,Mumbai Indians,Delhi Daredevils,7,1,AT Rayudu,JP Duminy,MEK Hussey,0,0,0,,0,,,
1178413,1,Kolkata Knight Riders,Sunrisers Hyderabad,2,2,SP Narine,KK Ahmed,CA Lynn,4,0,4,,0,,,
1136564,1,Rajasthan Royals,Sunrisers Hyderabad,10,2,SV Samson,B Stanlake,RA Tripathi,1,0,1,,0,,,
734001,1,Sunrisers Hyderabad,Mumbai Indians,5,1,AJ Finch,PP Ojha,KL Rahul,1,0,1,,0,,,
1136602,1,Delhi Daredevils,Sunrisers Hyderabad,3,5,PP Shaw,Shakib Al Hasan,JJ Roy,0,0,0,,1,PP Shaw,caught,S Dhawan
1136561,2,Chennai Super Kings,Mumbai Indians,7,3,KM Jadhav,JJ Bumrah,MS Dhoni,0,1,1,noballs,0,,,
1254096,1,Mumbai Indians,Kolkata Knight Riders,16,6,KH Pandya,LH Ferguson,KA Pollard,1,0,1,,0,,,
734033,2,Rajasthan Royals,Kings XI Punjab,14,4,BJ Hodge,L Balaji,R Tewatia,2,0,2,,0,,,
548376,1,Deccan Chargers,Royal Challengers Bangalore,4,2,CL White,P Parameswaran,KC Sangakkara,0,0,0,,1,CL White,caught,MA Agarwal
1304076,1,Rajasthan Royals,Kolkata Knight Riders,11,6,SV Samson,SP Narine,JC Buttler,1,0,1,,0,,,
598061,2,Kolkata Knight Riders,Pune Warriors,10,6,YK Pathan,Yuvraj Singh,RN ten Doeschate,0,0,0,,0,,,
548330,1,Chennai Super Kings,Pune Warriors,9,5,S Badrinath,A Nehra,F du Plessis,1,0,1,,0,,,
980961,2,Delhi Daredevils,Gujarat Lions,16,3,JP Duminy,S Kaushik,SV Samson,1,0,1,,0,,,
